Modeltype,,,gcn,gcn,gcn,gcn,gat,gat,gat,gat
Entropy Buckets,,,low,mid,high,mean,low,mid,high,mean
Methods,Dataset,Compression ratio,,,,,,,,
one_step,cora,0.125,10,12,29,2.916853427886963,1,2,48,6.521231174468994
one_step,cora,0.25,67,26,12,1.0152606517076492,0,5,100,5.780041337013245
one_step,cora,0.5,90,82,38,1.3861659914255142,1,2,207,6.328890085220337
one_step,citeseer,0.125,7,29,9,4.40975558757782,2,4,39,7.279067039489746
one_step,citeseer,0.25,81,9,0,1.959329903125763,1,28,61,7.048014163970947
one_step,citeseer,0.5,160,20,0,1.5563319027423859,1,15,164,7.2305052280426025
gcond,cora,0.125,0,0,51,6.334435820579529,0,0,51,7.381714582443237
gcond,cora,0.25,0,1,104,6.318592548370361,0,0,105,7.804248571395874
gcond,cora,0.5,0,11,199,5.718693375587463,0,0,210,7.876888990402222
gcond,citeseer,0.125,0,0,45,7.476603031158447,0,0,45,7.677945852279663
gcond,citeseer,0.25,0,0,90,7.417062044143677,0,0,90,7.699145793914795
gcond,citeseer,0.5,0,0,180,7.371645450592041,0,0,180,7.713305234909058
sfgc,cora,0.125,0,0,51,7.641433000564575,0,0,51,8.177426815032959
sfgc,cora,0.25,0,0,105,7.692346811294556,0,0,105,8.193960905075073
sfgc,cora,0.5,0,0,210,7.995532512664795,0,0,210,8.273959875106812
sfgc,citeseer,0.125,0,0,45,7.652661323547363,0,0,45,7.733858823776245
sfgc,citeseer,0.25,0,0,90,7.729738712310791,0,0,90,7.748492479324341
sfgc,citeseer,0.5,0,0,180,7.634115695953369,0,0,180,7.730206489562988
sgdd,cora,0.125,0,0,85,13.380160331726074,0,0,85,13.867784261703491
sgdd,cora,0.25,0,0,175,12.77251672744751,0,0,175,13.827046155929565
sgdd,cora,0.5,0,0,350,12.485227584838867,0,0,350,13.848316192626953
sgdd,citeseer,0.125,0,0,75,12.821988582611084,0,0,75,12.907301664352417
sgdd,citeseer,0.25,0,0,150,12.74368166923523,0,0,150,12.905686140060425
sgdd,citeseer,0.5,0,0,300,12.696635246276855,0,0,300,12.903745889663696
