Modeltype,,,gcn,gcn,gcn,gcn,gat,gat,gat,gat
Entropy Buckets,,,low,mid,high,mean,low,mid,high,mean
Methods,Dataset,Compression ratio,,,,,,,,
one_step,cora,0.125,9,14,28,3.442353457212448,1,3,47,6.343971371650696
one_step,cora,0.25,60,33,12,1.3841519355773926,1,7,97,5.5594635009765625
one_step,cora,0.5,89,65,56,1.91884745657444,1,0,209,5.994501352310181
one_step,citeseer,0.125,7,29,9,5.6350730657577515,0,3,42,7.6110968589782715
one_step,citeseer,0.25,83,7,0,3.431211233139038,0,11,79,7.554389238357544
one_step,citeseer,0.5,162,18,0,2.773241341114044,0,5,175,7.599912405014038
gcond,cora,0.125,0,0,51,6.716128587722778,0,0,51,7.165891647338867
gcond,cora,0.25,0,1,104,6.619935750961304,0,0,105,7.643294334411621
gcond,cora,0.5,0,8,202,6.1741554737091064,0,0,210,7.742887496948242
gcond,citeseer,0.125,0,0,45,7.613433122634888,0,0,45,7.724787712097168
gcond,citeseer,0.25,0,0,90,7.580491542816162,0,0,90,7.737173080444336
gcond,citeseer,0.5,0,0,180,7.555723428726196,0,0,180,7.737962484359741
sfgc,cora,0.125,0,0,51,7.852032899856567,0,0,51,8.151918649673462
sfgc,cora,0.25,0,0,105,7.886571645736694,0,0,105,8.161640167236328
sfgc,cora,0.5,0,0,210,8.117550611495972,0,0,210,8.244110345840454
sfgc,citeseer,0.125,0,0,45,7.70569372177124,0,0,45,7.746860980987549
sfgc,citeseer,0.25,0,0,90,7.742286682128906,0,0,90,7.752414226531982
sfgc,citeseer,0.5,0,0,180,7.6952064037323,0,0,180,7.745142936706543
sgdd,cora,0.125,0,0,85,13.586827516555786,0,0,85,13.838708639144897
sgdd,cora,0.25,0,0,175,13.117270946502686,0,0,175,13.792954683303833
sgdd,cora,0.5,0,0,350,12.869950294494629,0,0,350,13.812232255935669
sgdd,citeseer,0.125,0,0,75,12.866595983505249,0,0,75,12.91767930984497
sgdd,citeseer,0.25,0,0,150,12.839071035385132,0,0,150,12.916642427444458
sgdd,citeseer,0.5,0,0,300,12.809837579727173,0,0,300,12.916702508926392
