cora,GCond-cora,GCond-Citeseer,SGDD-Cora,SGDD-citeseer,citeseer
2708.0,70.0,60.0,70.0,60.0,3327.0
5278.0,1667.0,1643.0,1939.0,1406.0,4552.0
1.0,16.0,20.0,15.0,12.0,0.0
168.0,69.0,59.0,69.0,58.0,99.0
3.8980797636632203,47.628571428571426,54.766666666666666,55.4,46.86666666666667,2.7363991584009617
27.330084938984882,172.490612244898,34.07888888888889,97.78285714285713,73.48222222222222,11.430063739680685
0.24067329850193728,0.8343133813628845,0.9508710425856677,0.8563371175856148,0.8597456956580627,0.14147102442629086
78.0,1.0,1.0,1.0,1.0,438.0
0.0014399999126942077,0.6902691511387163,0.9282485875706215,0.8028985507246377,0.7943502824858757,0.0008227297529768376
2.3715969688464775,24.23789764868603,39.48677248677249,26.753093060785368,24.66235632183908,2.257037247654251
0.0014399999126942043,0.6902691511387165,0.9282485875706213,0.8028985507246379,0.7943502824858756,0.0008227297529768653
0.1374760279160303,0.7800891870815001,0.939091542529134,0.8459839654741926,0.840267382330499,0.045278713946521346
0.0016527620073254735,0.004554865424430643,0.0012370933177479064,0.0028985507246376803,0.003545684784726282,0.0010171388899888449
0.004786545609802777,0.11604435743528249,0.1283953389309042,0.1178713677346707,0.12719872478596655,0.0033854307488708794
