methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5092579215765,0.6343518803517024,0.7267489800850551,0,0,0,0.19390433374792337,0.3250642920533816,0.3870534618695577
cora,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606089876095454,0.7168551415205002,0.7831911245981852,0,0,0,0.41945918624599776,0.47416005929311117,0.5640322238206863
cora,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6044189279278119,0.7180750583608945,0.7873191416263581,0,0,0,0.3536970304946105,0.4719387614478668,0.5545115823547045
citeseer,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6751587147514025,0.7980765362580617,0.8347982029120128,0,0,0,0.6729446013768514,0.782116407652696,0.8240388308962187
citeseer,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6765719745308161,0.762042939166228,0.8227889060974121,0,0,0,0.7069508309165636,0.7847667435805002,0.8212915480136871
citeseer,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6321266735593478,0.7425137797991435,0.8060295065244039,0,0,0,0.6733571817477544,0.750192795197169,0.7851752837498983
