methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5854112554112554,0.7689603817235398,0.823503202450571,0,0,0,0.33305916305916305,0.5116734143049932,0.5413437250660744
cora,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6990476190476191,0.7809394527041587,0.8561835962455159,0,0,0,0.4685714285714285,0.5569078144078144,0.6055764407790253
cora,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6315873015873017,0.7908211233211234,0.844461889695434,0,0,0,0.46683982683982683,0.6366374584021643,0.6729279368821703
citeseer,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7574603174603174,0.9025854700854701,0.9220437567348322,0,0,0,0.7712698412698413,0.8931430606430607,0.9186455026455026
citeseer,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7503174603174603,0.8804578754578755,0.9248953301127215,0,0,0,0.7833333333333333,0.8915102707749766,0.9258813700918964
citeseer,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7666666666666668,0.8614285714285714,0.9047668190083051,0,0,0,0.7617460317460317,0.8726692044339103,0.9154850088183422
