methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34206349206349207,0.5426669305926273,0.6290737744110593,0,0,0,0.34272486772486765,0.5288022692821455,0.6021408744986197
cora,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4134920634920635,0.574644593452643,0.6957895349197261,0,0,0,0.3187830687830688,0.4549742053612022,0.6060748462064252
cora,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4194444444444444,0.5954501925090161,0.7511690768811512,0,0,0,0.4211640211640211,0.6019069423868184,0.6672004825713265
citeseer,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589021164021164,0.7628376783175546,0.8328915508375314,0,0,0,0.5919312169312169,0.7006040256040256,0.8207310519381459
citeseer,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6191798941798942,0.7421550671550672,0.8339698101462807,0,0,0,0.6136243386243386,0.7572150072150072,0.8501977984176127
citeseer,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5952380952380951,0.7501538222126457,0.8430384218464714,0,0,0,0.5541005291005291,0.705492314702841,0.8060911739361989
