methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48479298651218417,0.6221215347448985,0.6868734548489253,0,0,0,0.44109091893769803,0.5903818955024084,0.636878012617429
cora,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556102599700292,0.6791547149419784,0.7464438855648041,0,0,0,0.45645322899023694,0.5370145221551259,0.647031174103419
cora,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6023587440450986,0.7322857941190402,0.8124841332435608,0,0,0,0.5790652997791768,0.6703157742818197,0.751339782277743
citeseer,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6571679885188738,0.7657503599921862,0.808402685324351,0,0,0,0.6364951560894648,0.7148907775680224,0.7934180721640587
citeseer,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6768170940379302,0.7537556295593579,0.7890640407800674,0,0,0,0.6976940758526325,0.7883668313423793,0.8458775103092193
citeseer,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6740216774245104,0.7768415888150533,0.8281880885362625,0,0,0,0.6398399056245884,0.7511847967902819,0.8157698690891266
