methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5592640692640692,0.7195046250619007,0.7851593850678519,0,0,0,0.5305050505050505,0.7122353300294476,0.7278680737097842
cora,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6119191919191921,0.7520614570614571,0.7944754491207582,0,0,0,0.48603174603174604,0.6165934065934066,0.6929733424470268
cora,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6795382395382397,0.7851912901912903,0.8453928901149255,0,0,0,0.7015873015873015,0.7859394527041587,0.7970204358191976
citeseer,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8031746031746032,0.8961721611721614,0.9345029239766082,0,0,0,0.7596969696969698,0.8463199980847039,0.9197349544260298
citeseer,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7382683982683982,0.8818681318681318,0.9210328852434116,0,0,0,0.7455555555555555,0.888373015873016,0.9118072960178224
citeseer,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785887445887446,0.8720101630395747,0.9238844586213008,0,0,0,0.7863636363636364,0.8845319495319496,0.9180662768031189
