methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4911537729203701,0.6309241650005182,0.7050923754771551,0,0,0,0.22626942271987596,0.34845746333400407,0.42158350894848506
cora,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5183676719044645,0.6484001288811366,0.7143683830897013,0,0,0,0.6149216403563817,0.690336991349856,0.7316011488437653
cora,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516819782430927,0.6647966613372167,0.7339981079101563,0,0,0,0.21650368124246597,0.32594285247226557,0.38345419317483903
citeseer,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681187653541565,0.7695679058631261,0.813444972038269,0,0,0,0.6869321644306183,0.7819816907246907,0.8352807144323985
citeseer,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6542511686682702,0.7693694919347763,0.8150543689727783,0,0,0,0.7219055106242498,0.7970996449391047,0.8372129271427791
citeseer,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6475878608723481,0.7319415201743443,0.7941670695940654,0,0,0,0.722710694372654,0.812759616971016,0.8499148607254028
