methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3261904761904762,0.5408260441542175,0.6532603017905723,0,0,0,0.17076719576719573,0.38163660671400607,0.4936629966654195
cora,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39021164021164023,0.5645485892389916,0.6729668152081251,0,0,0,0.4380952380952381,0.5764346077039575,0.6692746179481527
cora,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40436507936507937,0.5797155458920165,0.7100372637288778,0,0,0,0.13915343915343914,0.269343209823086,0.3604673191969017
citeseer,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5810846560846561,0.7537086007674243,0.8289225579517934,0,0,0,0.6011904761904762,0.7477562198150434,0.8471199408270347
citeseer,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5884920634920635,0.7638962888962889,0.8485060690943044,0,0,0,0.6400793650793651,0.7456589706589707,0.8437246963562752
citeseer,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6251322751322751,0.7347364910058409,0.8206008261890615,0,0,0,0.6177248677248677,0.7559279500455972,0.8331034332004436
