methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3458112874779542,0.5391206049616782,0.6504286206470021,0.0,0.0,0.0,0.21940035273368605,0.42293996661901717,0.499520994353694
cora,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4236772486772487,0.5822141394896813,0.696921111610934,0.0,0.0,0.0,0.34052028218694885,0.4687153251136739,0.5933560939509784
cora,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414726631393298,0.594246331011037,0.7271369027300737,0.0,0.0,0.0,0.2779100529100529,0.4428196197030046,0.5281944130906336
citeseer,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5880952380952381,0.7616629595989762,0.8341849498433552,0.0,0.0,0.0,0.5930335097001763,0.7339716746579491,0.8346772822973385
citeseer,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020282186948854,0.7502306106537273,0.8423411600422863,0.0,0.0,0.0,0.6261904761904762,0.7506320610551777,0.8418630811148872
citeseer,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590652557319224,0.7341933207258284,0.8269814853172864,0.0,0.0,0.0,0.5925044091710757,0.7278813320608987,0.812688276714932
