methods,,random,random,random,herding,herding,herding,kcenter,kcenter,kcenter,kmeans,kmeans,kmeans,gcond,gcond,gcond,sfgc,sfgc,sfgc,one-step,one-step,one-step,sgdd,sgdd,sgdd
threshold,,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5,10,15
Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,,,,
cora,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495068227003018,0.6291325266990397,0.7062382701370451,0.0,0.0,0.0,0.2870882251351658,0.42130121696326467,0.48183832781182395
cora,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5601867159000701,0.6814699951145385,0.7480011310842302,0.0,0.0,0.0,0.4969446851975388,0.5671705242660311,0.6475548489226236
cora,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5745324848012792,0.7050525046057171,0.7779337942600252,0.0,0.0,0.0,0.3830886705054177,0.4893991294006506,0.5631018526024288
citeseer,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711714522706137,0.7777982673711247,0.8188819534248776,0.0,0.0,0.0,0.6654573072989782,0.7596629586484697,0.8175792058308918
citeseer,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6692134124123389,0.7617226868867873,0.8089691052834193,0.0,0.0,0.0,0.7088501391311487,0.7900777399539948,0.8347939951552285
citeseer,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6512454039520689,0.750432296262847,0.8094615548849106,0.0,0.0,0.0,0.6786359272483322,0.7713790696528223,0.8169533378548092
