,methods,Unnamed: 1,random,random.1,random.2,herding,herding.1,herding.2,kcenter,kcenter.1,kcenter.2,kmeans,kmeans.1,kmeans.2,gcond,gcond.1,gcond.2,sfgc,sfgc.1,sfgc.2,one-step,one-step.1,one-step.2
0,threshold,,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0
1,Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,
2,cora,0.125,0.3911493906958236,0.4959763547612561,0.5521988029281298,0.4276541619665093,0.5323719412916237,0.5978236330880059,0.4594351943996217,0.5710360031988886,0.6229475930333138,0.3974892056650585,0.5038975910180145,0.5603797559936842,0.449695265914003,0.6237192807926072,0.6718062389228079,0.0,0.0,0.0,0.4841872915418612,0.6192334661881129,0.7014344152477051
3,cora,0.25,0.4261551606158416,0.563539909488625,0.6262326816717784,0.4278864532709122,0.5652735159628921,0.6413336209124989,0.4695143991874324,0.6051948259274165,0.6669861202438673,0.4835344726012813,0.6166942384507922,0.6884872299929459,0.4846086754567094,0.6188366601864497,0.6868773288196987,0.0,0.0,0.0,0.4884837173339393,0.6052485211855836,0.6807514232997266
4,cora,0.5,0.4926359076880747,0.6136633460720381,0.6836071049173674,0.4635609940522247,0.6123872965574265,0.6837416296203931,0.4510149143636227,0.5687955394387245,0.6467149083813032,0.4683439680271679,0.5865514904260635,0.6489200088712904,0.5079031627211306,0.6264845344341463,0.7024547600083881,0.0,0.0,0.0,0.4706636290376385,0.579941483380066,0.6537130066918002
5,citeseer,0.125,0.6293070099420017,0.7109709295961593,0.7659165370795461,0.5833942346274853,0.6828775023420652,0.7101036588350933,0.6000926382891419,0.6890241029775805,0.7404258945749865,0.5788305691960786,0.661831592478686,0.7193859196371503,0.6177450510362784,0.741052348828978,0.7776990902920563,0.0,0.0,0.0,0.4674844293958611,0.5687614753014512,0.6361579530768924
6,citeseer,0.25,0.6411027034123739,0.7406180934773552,0.7849781716863314,0.665684731832395,0.7328120996554692,0.7786803195873896,0.6721659407019615,0.7726688259177737,0.8023156411117979,0.6594314855006006,0.7308189259635077,0.7846030953857633,0.6082445493588845,0.6935337524447176,0.7483809458712738,0.0,0.0,0.0,0.5022766864962048,0.563776660958926,0.6348506909277705
7,citeseer,0.5,0.6569496427973112,0.7455759702457323,0.7883338544103834,0.6402762146459685,0.7516887928048769,0.7887573679288229,0.643907163871659,0.7086095712251134,0.7620533360375298,0.6367022340496381,0.7363867193460464,0.763784242173036,0.6015668652951717,0.6618563529517916,0.7226810821228558,0.0,0.0,0.0,0.5289477280030648,0.5844614214367337,0.6518192254834705
