,methods,Unnamed: 1,random,random.1,random.2,herding,herding.1,herding.2,kcenter,kcenter.1,kcenter.2,kmeans,kmeans.1,kmeans.2,gcond,gcond.1,gcond.2,sfgc,sfgc.1,sfgc.2,one-step,one-step.1,one-step.2
0,threshold,,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0,5.0,10.0,15.0
1,Dataset,Compression ratio,,,,,,,,,,,,,,,,,,,,,
2,cora,0.125,0.2862433862433862,0.4417105073193824,0.5412316621402132,0.3096560846560846,0.471408995583402,0.5781623768019232,0.3723544973544972,0.5204157756015341,0.6009862846667742,0.2981922398589065,0.4531455186253948,0.5546576054936928,0.3537477954144621,0.5475385715839792,0.6448077906683009,0.0,0.0,0.0,0.3744268077601411,0.5404255321179985,0.6613518800699166
3,cora,0.25,0.3240299823633156,0.5130384894316782,0.6256373581523197,0.2958994708994709,0.4957012696434781,0.6133472465644305,0.3508377425044091,0.5313852670663816,0.6245458651619812,0.3513227513227513,0.5318646476025216,0.6433821516177319,0.3867283950617284,0.5441335887672317,0.64719368788443,0.0,0.0,0.0,0.3753968253968254,0.542050382633458,0.6623542985426207
4,cora,0.5,0.383068783068783,0.5425406149864354,0.6491102813254741,0.3451940035273368,0.5355547998994852,0.6538462947608723,0.3202821869488536,0.5110172259037068,0.6310237311710762,0.3361552028218694,0.5227239383328134,0.623823465151462,0.3950176366843034,0.5497131580722913,0.6629620126283906,0.0,0.0,0.0,0.367416225749559,0.5274183504833659,0.6502342335476117
5,citeseer,0.125,0.5813932980599646,0.7155151894315982,0.8095203770718644,0.5834215167548501,0.7265490997173143,0.8059007003784537,0.5764991181657848,0.7164555841284427,0.8168455331497997,0.5594356261022928,0.7103167071433326,0.8123951773115271,0.585273368606702,0.7370646181017698,0.8303798695077242,0.0,0.0,0.0,0.4582451499118166,0.6510363542355287,0.7627533641326746
6,citeseer,0.25,0.6031746031746031,0.7409786826711491,0.8260003228783234,0.6144620811287478,0.7243247264145096,0.8191674596848326,0.601058201058201,0.7366820180545671,0.8219116124814514,0.596252204585538,0.7274771839787318,0.828692562910717,0.6066137566137567,0.7321319871887467,0.8191630749928498,0.0,0.0,0.0,0.5527777777777777,0.6961504859853673,0.7988644313281995
7,citeseer,0.5,0.585626102292769,0.720407972755754,0.8227936905412564,0.5943562610229276,0.742311265350481,0.816994135621138,0.601058201058201,0.7139812295643049,0.8053180362028569,0.576984126984127,0.7329811342195244,0.8162022052413621,0.5844356261022927,0.7292446469175055,0.8172296148169975,0.0,0.0,0.0,0.542063492063492,0.6908733824368499,0.7889958964672923
